k,total_samples,samples_per_pod,wall_ms,avg_pod_ms,max_pod_ms,pods,node_kubeadm1,node_kubeadm2,node_kubeadm3strong
20,300000000,15000000,66625,24103.40,37837,20,2,4,14
30,300000000,10000000,56640,16560.43,25247,30,3,6,21
40,300000000,7500000,60940,12245.15,19238,40,4,8,28
50,300000000,6000000,67623,9959.48,15909,50,5,10,35
60,300000000,5000000,64236,8286.90,13316,60,6,12,42
70,300000000,4285714,65978,6963.39,11691,70,7,14,49
80,300000000,3750000,70076,6198.36,10269,80,8,16,56
90,300000000,3333333,70350,5459.48,9616,90,8,18,64
100,300000000,3000000,73952,4976.37,8840,100,9,21,70
110,300000000,2727272,75776,4590.96,8390,110,10,23,77
120,300000000,2500000,77561,4143.39,7906,120,11,24,85
130,300000000,2307692,79754,3802.51,7591,130,13,27,90
140,300000000,2142857,82459,3479.63,7166,140,13,29,98
150,300000000,2000000,83956,3318.59,6617,150,14,30,106
160,300000000,1875000,86750,3143.42,6459,160,16,33,111
170,300000000,1764705,89849,2869.28,6181,170,17,36,117
180,300000000,1666666,94957,2743.42,5881,180,18,37,125
190,300000000,1578947,93812,2520.99,5499,190,18,39,133
200,300000000,1500000,96755,2376.41,5199,200,19,42,139
210,300000000,1428571,97845,2220.81,4955,210,19,45,146
220,300000000,1363636,101869,2195.62,4927,220,20,46,154
230,300000000,1304347,108359,2113.32,4449,230,23,51,156
240,300000000,1250000,110096,2092.47,4372,240,25,51,164
