k,total_samples,samples_per_pod,wall_ms,avg_pod_ms,max_pod_ms,pods,node_kubeadm1,node_kubeadm2,node_kubeadm3strong
20,1200000000,60000000,252482,96767.20,150948,20,2,4,14
30,1200000000,40000000,207849,66290.40,100896,30,3,6,21
40,1200000000,30000000,214908,48651.93,75672,40,4,8,28
50,1200000000,24000000,203842,38974.30,61273,50,5,9,36
60,1200000000,20000000,214265,33125.18,51059,60,6,12,42
70,1200000000,17142857,213871,27708.86,43589,70,7,13,50
80,1200000000,15000000,209701,24487.69,38735,80,8,15,57
90,1200000000,13333333,217721,21964.58,34832,90,8,18,64
100,1200000000,12000000,212450,19453.10,31339,100,10,18,72
110,1200000000,10909090,221581,18075.78,28815,110,11,21,78
120,1200000000,10000000,219902,16278.63,27072,120,11,23,86
130,1200000000,9230769,212525,14947.39,24711,130,12,24,94
140,1200000000,8571428,220326,13918.41,23370,140,13,27,100
150,1200000000,8000000,215820,12856.23,22212,150,14,27,109
160,1200000000,7500000,227791,12440.56,22182,160,15,30,115
170,1200000000,7058823,229183,11661.64,20245,170,16,33,121
180,1200000000,6666666,236855,11187.20,19446,180,17,36,127
190,1200000000,6315789,229967,10371.49,18240,190,18,36,136
200,1200000000,6000000,235134,9926.31,18562,200,19,39,142
210,1200000000,5714285,229810,9294.73,17378,210,20,39,151
220,1200000000,5454545,236313,8975.79,17193,220,21,42,157
230,1200000000,5217391,239865,8467.90,16465,230,21,45,164
240,1200000000,5000000,236161,8126.02,16036,240,23,45,172
